#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL8	VWF	1848852	1844904	9606.ENSP00000306512	9606.ENSP00000261405	0	0	0	0	0.054	0	0	0.769	0.772
MCL1	CASP8	1854935	1853692	9606.ENSP00000358022	9606.ENSP00000351273	0	0	0	0	0.102	0.143	0	0.727	0.771
IGFBP3	VEGFA	1857331	1855611	9606.ENSP00000370473	9606.ENSP00000361125	0	0	0	0	0.055	0	0	0.766	0.769
HSPG2	PRELP	1856167	1852755	9606.ENSP00000363827	9606.ENSP00000343924	0	0	0	0	0.071	0.366	0	0.639	0.769
CXCL1	CCL3	1858329	1843010	9606.ENSP00000379110	9606.ENSP00000225245	0	0	0	0	0.124	0	0	0.746	0.768
CST3	CTSL1	1856578	1852924	9606.ENSP00000366124	9606.ENSP00000345344	0	0	0	0	0	0.36	0	0.651	0.767
CASP8	SRC	1853692	1853652	9606.ENSP00000351273	9606.ENSP00000350941	0	0	0	0	0	0	0	0.766	0.766
MCL1	IL6	1854935	1844631	9606.ENSP00000358022	9606.ENSP00000258743	0	0	0	0	0.054	0	0	0.762	0.765
NOTCH1	IL6	1846535	1844631	9606.ENSP00000277541	9606.ENSP00000258743	0	0	0	0	0.045	0	0	0.763	0.764
CTSL1	CSTB	1852924	1847296	9606.ENSP00000345344	9606.ENSP00000291568	0	0	0	0	0.053	0.425	0	0.599	0.763
CXCL9	CCL3	1854250	1843010	9606.ENSP00000354901	9606.ENSP00000225245	0	0	0	0	0.054	0	0	0.76	0.763
SELE	VWF	1851385	1844904	9606.ENSP00000331736	9606.ENSP00000261405	0	0	0	0	0.091	0	0	0.748	0.761
TF	IGFBP3	1859071	1857331	9606.ENSP00000385834	9606.ENSP00000370473	0	0	0	0	0.109	0.325	0	0.634	0.761
MMP9	DCN	1855661	1842218	9606.ENSP00000361405	9606.ENSP00000052754	0	0	0	0	0.245	0	0	0.696	0.761
CD40	VEGFA	1855654	1855611	9606.ENSP00000361359	9606.ENSP00000361125	0	0	0	0	0	0	0	0.759	0.759
CCL15	CCL16	1847400	1847399	9606.ENSP00000293276	9606.ENSP00000293275	0	0	0	0	0	0	0	0.759	0.759
IL6	CCL4	1844631	1843996	9606.ENSP00000258743	9606.ENSP00000250151	0	0	0	0	0.103	0	0	0.743	0.759
VCAM1	IL18	1847502	1846668	9606.ENSP00000294728	9606.ENSP00000280357	0	0	0	0	0	0	0	0.757	0.757
SPP1	TIMP1	1858269	1842705	9606.ENSP00000378517	9606.ENSP00000218388	0	0	0	0	0.102	0	0	0.741	0.757
COL1A1	MMP2	1843064	1842719	9606.ENSP00000225964	9606.ENSP00000219070	0	0	0	0	0.354	0.36	0	0.457	0.756
VEGFA	IL18	1855611	1846668	9606.ENSP00000361125	9606.ENSP00000280357	0	0	0	0	0	0	0	0.755	0.755
CTRC	CPA1	1856410	1842164	9606.ENSP00000365116	9606.ENSP00000011292	0.054	0	0	0	0.286	0.525	0	0.326	0.755
SPP1	MMP2	1858269	1842719	9606.ENSP00000378517	9606.ENSP00000219070	0	0	0	0	0.056	0	0	0.751	0.755
LPL	SORT1	1849220	1844454	9606.ENSP00000309757	9606.ENSP00000256637	0	0	0	0	0	0.407	0	0.603	0.755
CCL2	RETN	1843055	1842846	9606.ENSP00000225831	9606.ENSP00000221515	0	0	0	0	0.05	0	0	0.751	0.754
CXCL9	CCL4	1854250	1843996	9606.ENSP00000354901	9606.ENSP00000250151	0	0	0	0	0.145	0	0	0.723	0.753
CCL19	CCL22	1849114	1842731	9606.ENSP00000308815	9606.ENSP00000219235	0	0	0	0	0	0.36	0	0.63	0.753
VEGFA	PLAUR	1855611	1852201	9606.ENSP00000361125	9606.ENSP00000339328	0	0	0	0	0.047	0	0	0.751	0.752
ADA	TRRAP	1855776	1853208	9606.ENSP00000361965	9606.ENSP00000347733	0	0	0	0	0.053	0.749	0	0	0.752
REN	DECR1	1846232	1842800	9606.ENSP00000272190	9606.ENSP00000220764	0	0	0	0	0.05	0	0	0.749	0.751
VEGFA	OSM	1855611	1842507	9606.ENSP00000361125	9606.ENSP00000215781	0	0	0	0	0	0	0	0.751	0.751
SELE	CCL2	1851385	1843055	9606.ENSP00000331736	9606.ENSP00000225831	0	0	0	0	0.091	0	0	0.736	0.75
SRC	ICAM1	1853652	1845628	9606.ENSP00000350941	9606.ENSP00000264832	0	0	0	0	0	0	0	0.75	0.75
CDH5	VWF	1852772	1844904	9606.ENSP00000344115	9606.ENSP00000261405	0	0	0	0	0.166	0	0	0.712	0.749
TEK	CDH5	1857139	1852772	9606.ENSP00000369375	9606.ENSP00000344115	0	0	0	0	0.138	0.046	0	0.719	0.749
IL10	CCL4	1860958	1843996	9606.ENSP00000412237	9606.ENSP00000250151	0	0	0	0	0.058	0	0	0.743	0.747
CCL20	CCL23	1853751	1847401	9606.ENSP00000351671	9606.ENSP00000293280	0	0	0	0	0	0	0	0.746	0.746
MMP3	TIMP4	1848108	1847089	9606.ENSP00000299855	9606.ENSP00000287814	0	0	0	0	0.066	0.294	0	0.645	0.745
ICAM1	MMP2	1845628	1842719	9606.ENSP00000264832	9606.ENSP00000219070	0	0	0	0	0	0	0	0.744	0.745
MMP9	THBS2	1855661	1854448	9606.ENSP00000361405	9606.ENSP00000355751	0	0	0	0	0.055	0.285	0	0.653	0.745
VEGFA	TNFSF10	1855611	1843591	9606.ENSP00000361125	9606.ENSP00000241261	0	0	0	0	0	0	0	0.743	0.743
CD5	IL7	1852615	1845425	9606.ENSP00000342681	9606.ENSP00000263851	0	0	0	0	0	0	0	0.743	0.743
MMP9	TIMP4	1855661	1847089	9606.ENSP00000361405	9606.ENSP00000287814	0	0	0	0	0.055	0.294	0	0.644	0.742
LILRB2	ITGB2	1857946	1848511	9606.ENSP00000375629	9606.ENSP00000303242	0	0	0	0	0.732	0	0	0.074	0.742
CD5	IL6	1852615	1844631	9606.ENSP00000342681	9606.ENSP00000258743	0	0	0	0	0	0	0	0.742	0.742
CDH1	IL6	1844988	1844631	9606.ENSP00000261769	9606.ENSP00000258743	0	0	0	0	0	0	0	0.742	0.742
DKK1	TNFSF11	1856024	1843537	9606.ENSP00000363081	9606.ENSP00000239849	0	0	0	0	0	0	0	0.741	0.741
VEGFA	TNC	1855611	1845696	9606.ENSP00000361125	9606.ENSP00000265131	0	0	0	0	0	0	0	0.741	0.741
VEGFA	EPHB4	1855611	1853646	9606.ENSP00000361125	9606.ENSP00000350896	0	0	0	0	0	0.098	0	0.725	0.741
CD40	TNFSF11	1855654	1843537	9606.ENSP00000361359	9606.ENSP00000239849	0	0	0	0	0	0	0	0.741	0.741
FCGR3B	SELL	1847507	1843434	9606.ENSP00000294800	9606.ENSP00000236147	0	0	0	0	0.148	0	0	0.709	0.741
IL10	TNFSF10	1860958	1843591	9606.ENSP00000412237	9606.ENSP00000241261	0	0	0	0	0	0	0	0.74	0.74
VEGFA	TNFSF11	1855611	1843537	9606.ENSP00000361125	9606.ENSP00000239849	0	0	0	0	0	0	0	0.739	0.739
IL8	CDH1	1848852	1844988	9606.ENSP00000306512	9606.ENSP00000261769	0	0	0	0	0	0	0	0.739	0.739
IL10	CCL11	1860958	1848388	9606.ENSP00000412237	9606.ENSP00000302234	0	0	0	0	0.05	0	0	0.736	0.738
VCAM1	VWF	1847502	1844904	9606.ENSP00000294728	9606.ENSP00000261405	0	0	0	0	0	0	0	0.738	0.738
VEGFA	THPO	1855611	1842420	9606.ENSP00000361125	9606.ENSP00000204615	0	0	0	0	0	0	0	0.738	0.738
ENG	ALCAM	1855851	1848798	9606.ENSP00000362299	9606.ENSP00000305988	0	0	0	0	0	0	0	0.737	0.737
ITGAM	CCL5	1862188	1847396	9606.ENSP00000441691	9606.ENSP00000293272	0	0	0	0	0.109	0	0	0.716	0.737
VCAM1	MMP2	1847502	1842719	9606.ENSP00000294728	9606.ENSP00000219070	0	0	0	0	0	0	0	0.736	0.736
CD5	NCAM1	1852615	1850053	9606.ENSP00000342681	9606.ENSP00000318472	0	0	0	0	0	0	0	0.735	0.735
SRC	CDCP1	1853652	1847682	9606.ENSP00000350941	9606.ENSP00000296129	0	0	0	0	0.053	0.36	0	0.597	0.735
CD40	RNF31	1855654	1849759	9606.ENSP00000361359	9606.ENSP00000315112	0	0	0	0	0	0.349	0.54	0.188	0.735
TF	AMBP	1859071	1845697	9606.ENSP00000385834	9606.ENSP00000265132	0	0	0	0	0.664	0	0	0.241	0.734
SORT1	GRN	1844454	1842222	9606.ENSP00000256637	9606.ENSP00000053867	0	0	0	0	0	0.36	0	0.599	0.733
IL8	TNFSF10	1848852	1843591	9606.ENSP00000306512	9606.ENSP00000241261	0	0	0	0	0.049	0	0	0.73	0.732
SPP1	ICAM1	1858269	1845628	9606.ENSP00000378517	9606.ENSP00000264832	0	0	0	0	0	0	0	0.731	0.731
KIT	NOTCH1	1847112	1846535	9606.ENSP00000288135	9606.ENSP00000277541	0.048	0	0	0	0.054	0.17	0	0.681	0.73
TNFRSF11A	SRC	1863918	1853652	9606.ENSP00000465500	9606.ENSP00000350941	0	0	0	0	0	0.419	0	0.55	0.727
SFTPD	SIRPA	1855655	1853282	9606.ENSP00000361366	9606.ENSP00000348307	0	0	0	0	0	0	0	0.727	0.727
GPER	EGFR	1847873	1846445	9606.ENSP00000297469	9606.ENSP00000275493	0	0	0	0	0	0	0	0.725	0.725
ITGAM	KIT	1862188	1847112	9606.ENSP00000441691	9606.ENSP00000288135	0	0	0	0	0	0	0	0.725	0.725
IL10	CCL18	1860958	1842123	9606.ENSP00000412237	9606.ENSP00000004921	0	0	0	0	0	0	0	0.722	0.723
CCL11	IL6	1848388	1844631	9606.ENSP00000302234	9606.ENSP00000258743	0	0	0	0	0.059	0	0	0.718	0.723
VEGFA	PLAT	1855611	1842802	9606.ENSP00000361125	9606.ENSP00000220809	0	0	0	0	0.06	0	0	0.717	0.722
IL10	MMP2	1860958	1842719	9606.ENSP00000412237	9606.ENSP00000219070	0	0	0	0	0	0	0	0.722	0.722
MMP9	NOTCH1	1855661	1846535	9606.ENSP00000361405	9606.ENSP00000277541	0	0	0	0	0.052	0	0	0.718	0.722
ICAM1	VWF	1845628	1844904	9606.ENSP00000264832	9606.ENSP00000261405	0	0	0	0	0.053	0	0	0.718	0.721
FAS	IL7	1853242	1845425	9606.ENSP00000347979	9606.ENSP00000263851	0	0	0	0	0	0	0	0.72	0.72
OLR1	CCL2	1849145	1843055	9606.ENSP00000309124	9606.ENSP00000225831	0	0	0	0	0.053	0	0	0.717	0.72
MMP3	SERPINE1	1848108	1842959	9606.ENSP00000299855	9606.ENSP00000223095	0	0	0	0	0.045	0.36	0	0.577	0.719
VWF	PLAT	1844904	1842802	9606.ENSP00000261405	9606.ENSP00000220809	0	0	0	0	0	0	0	0.719	0.719
IL7	KITLG	1845425	1843134	9606.ENSP00000263851	9606.ENSP00000228280	0	0	0	0	0	0	0	0.719	0.719
VCAM1	HGF	1847502	1842916	9606.ENSP00000294728	9606.ENSP00000222390	0	0	0	0	0	0	0	0.718	0.718
TNFSF13B	IL6	1856399	1844631	9606.ENSP00000365048	9606.ENSP00000258743	0	0	0	0	0	0	0	0.718	0.718
MMP9	SERPINE1	1855661	1842959	9606.ENSP00000361405	9606.ENSP00000223095	0	0	0	0	0.045	0	0	0.717	0.718
SRC	PI3	1853652	1843690	9606.ENSP00000350941	9606.ENSP00000243924	0	0	0	0	0.06	0	0	0.712	0.718
CXCL5	CCL2	1847663	1843055	9606.ENSP00000296027	9606.ENSP00000225831	0	0	0	0	0.093	0	0	0.702	0.718
SELP	IL6	1845393	1844631	9606.ENSP00000263686	9606.ENSP00000258743	0	0	0	0	0.054	0	0	0.714	0.717
PGF	MMP9	1862737	1855661	9606.ENSP00000451040	9606.ENSP00000361405	0	0	0	0	0	0	0	0.717	0.717
FCGR3B	IL6	1847507	1844631	9606.ENSP00000294800	9606.ENSP00000258743	0	0	0	0	0.052	0	0	0.714	0.717
VEGFA	CXCL9	1855611	1854250	9606.ENSP00000361125	9606.ENSP00000354901	0	0	0	0	0	0	0	0.717	0.717
MMP9	CXCL10	1855661	1848754	9606.ENSP00000361405	9606.ENSP00000305651	0	0	0	0	0	0	0	0.717	0.717
VEGFA	LYVE1	1855611	1844410	9606.ENSP00000361125	9606.ENSP00000256178	0	0	0	0	0	0.36	0	0.575	0.716
LEP	DECR1	1849557	1842800	9606.ENSP00000312652	9606.ENSP00000220764	0	0	0	0	0	0	0	0.716	0.716
IL6	SELL	1844631	1843434	9606.ENSP00000258743	9606.ENSP00000236147	0	0	0	0	0	0	0	0.715	0.715
VCAM1	CCL5	1847502	1847396	9606.ENSP00000294728	9606.ENSP00000293272	0	0	0	0	0.074	0	0	0.704	0.714
IL8	PRTN3	1848852	1843396	9606.ENSP00000306512	9606.ENSP00000234347	0	0	0	0	0	0	0	0.714	0.714
CXCL9	CCL17	1854250	1842733	9606.ENSP00000354901	9606.ENSP00000219244	0	0	0	0	0.086	0	0	0.7	0.714
CXCL10	CCL22	1848754	1842731	9606.ENSP00000305651	9606.ENSP00000219235	0	0	0	0	0	0	0	0.714	0.714
CR2	CD5	1854505	1852615	9606.ENSP00000356024	9606.ENSP00000342681	0	0	0	0	0	0	0	0.713	0.713
SELP	THPO	1845393	1842420	9606.ENSP00000263686	9606.ENSP00000204615	0	0	0	0	0	0	0	0.713	0.713
CCL2	SERPINE1	1843055	1842959	9606.ENSP00000225831	9606.ENSP00000223095	0	0	0	0	0.059	0	0	0.707	0.712
IL10	TNFSF13B	1860958	1856399	9606.ENSP00000412237	9606.ENSP00000365048	0	0	0	0	0	0	0	0.712	0.712
LILRB2	CD163	1857946	1853796	9606.ENSP00000375629	9606.ENSP00000352071	0	0	0	0	0.667	0	0	0.173	0.712
CDH1	MMP2	1844988	1842719	9606.ENSP00000261769	9606.ENSP00000219070	0	0	0	0	0.061	0	0	0.706	0.712
IL7	SELL	1845425	1843434	9606.ENSP00000263851	9606.ENSP00000236147	0	0	0	0	0	0	0	0.711	0.711
CXCL10	CCL17	1848754	1842733	9606.ENSP00000305651	9606.ENSP00000219244	0	0	0	0	0	0	0	0.71	0.71
KIT	CDH1	1847112	1844988	9606.ENSP00000288135	9606.ENSP00000261769	0	0	0	0	0.054	0.046	0	0.705	0.71
ITGB2	SELL	1848511	1843434	9606.ENSP00000303242	9606.ENSP00000236147	0	0	0	0	0.187	0	0	0.658	0.71
CSF1	KITLG	1850929	1843134	9606.ENSP00000327513	9606.ENSP00000228280	0	0	0	0	0.052	0	0	0.707	0.71
IL8	SELP	1848852	1845393	9606.ENSP00000306512	9606.ENSP00000263686	0	0	0	0	0	0	0	0.71	0.71
IL1RN	IL6	1844670	1844631	9606.ENSP00000259206	9606.ENSP00000258743	0	0	0	0	0.072	0	0	0.701	0.71
SPP1	HGF	1858269	1842916	9606.ENSP00000378517	9606.ENSP00000222390	0	0	0	0	0	0	0	0.71	0.71
DPP4	CCL11	1854025	1848388	9606.ENSP00000353731	9606.ENSP00000302234	0	0	0	0	0	0.344	0	0.576	0.71
MMP9	CCL3	1855661	1843010	9606.ENSP00000361405	9606.ENSP00000225245	0	0	0	0	0	0	0	0.709	0.71
KIT	IL6	1847112	1844631	9606.ENSP00000288135	9606.ENSP00000258743	0	0	0	0	0	0	0	0.709	0.709
CD5	FCGR3B	1852615	1847507	9606.ENSP00000342681	9606.ENSP00000294800	0	0	0	0	0.073	0	0	0.699	0.709
CXCL9	CCL11	1854250	1848388	9606.ENSP00000354901	9606.ENSP00000302234	0	0	0	0	0.053	0	0	0.705	0.709
CD40	IL8	1855654	1848852	9606.ENSP00000361359	9606.ENSP00000306512	0	0	0	0	0	0	0	0.709	0.709
LEP	MMP2	1849557	1842719	9606.ENSP00000312652	9606.ENSP00000219070	0	0	0	0	0	0	0	0.709	0.709
IL10	FCGR2A	1860958	1846197	9606.ENSP00000412237	9606.ENSP00000271450	0	0	0	0	0	0	0	0.709	0.709
CCL11	CCL22	1848388	1842731	9606.ENSP00000302234	9606.ENSP00000219235	0	0	0	0	0	0	0	0.709	0.709
MMP9	ICAM1	1855661	1845628	9606.ENSP00000361405	9606.ENSP00000264832	0	0	0	0	0	0	0	0.709	0.709
VCAM1	HMOX1	1847502	1842546	9606.ENSP00000294728	9606.ENSP00000216117	0	0	0	0	0	0	0	0.708	0.708
IL10	VCAM1	1860958	1847502	9606.ENSP00000412237	9606.ENSP00000294728	0	0	0	0	0	0	0	0.708	0.708
IL8	TNFSF11	1848852	1843537	9606.ENSP00000306512	9606.ENSP00000239849	0	0	0	0	0	0	0	0.707	0.707
CD46	SLAMF1	1849660	1848818	9606.ENSP00000313875	9606.ENSP00000306190	0	0	0	0	0	0	0	0.707	0.707
MMP9	HMOX1	1855661	1842546	9606.ENSP00000361405	9606.ENSP00000216117	0	0	0	0	0.053	0	0	0.703	0.707
SELP	CCL2	1845393	1843055	9606.ENSP00000263686	9606.ENSP00000225831	0	0	0	0	0.051	0	0	0.704	0.707
ENG	VEGFA	1855851	1855611	9606.ENSP00000362299	9606.ENSP00000361125	0	0	0	0	0	0	0	0.707	0.707
CD40	FAS	1855654	1853242	9606.ENSP00000361359	9606.ENSP00000347979	0	0	0	0	0.073	0	0	0.697	0.707
IL6	DECR1	1844631	1842800	9606.ENSP00000258743	9606.ENSP00000220764	0	0	0	0	0	0	0	0.707	0.707
IL10	CXCL9	1860958	1854250	9606.ENSP00000412237	9606.ENSP00000354901	0	0	0	0	0	0	0	0.706	0.706
ITGAM	CD5	1862188	1852615	9606.ENSP00000441691	9606.ENSP00000342681	0	0	0	0	0	0	0	0.706	0.706
EGFR	MMP7	1846445	1844765	9606.ENSP00000275493	9606.ENSP00000260227	0	0	0	0	0.051	0	0	0.703	0.706
ICAM1	MPO	1845628	1843011	9606.ENSP00000264832	9606.ENSP00000225275	0	0	0	0	0	0	0	0.706	0.706
ITGAM	CSF1	1862188	1850929	9606.ENSP00000441691	9606.ENSP00000327513	0	0	0	0	0	0	0	0.706	0.706
CD163	HMOX1	1853796	1842546	9606.ENSP00000352071	9606.ENSP00000216117	0	0	0	0	0.108	0	0	0.684	0.706
IL6	THPO	1844631	1842420	9606.ENSP00000258743	9606.ENSP00000204615	0	0	0	0	0	0	0	0.705	0.705
CXCL9	IL6	1854250	1844631	9606.ENSP00000354901	9606.ENSP00000258743	0	0	0	0	0.055	0	0	0.701	0.705
CST3	HAVCR1	1856578	1852866	9606.ENSP00000366124	9606.ENSP00000344844	0	0	0	0	0	0	0	0.705	0.705
MMP3	IL6	1848108	1844631	9606.ENSP00000299855	9606.ENSP00000258743	0	0	0	0	0.053	0	0	0.702	0.705
IL10	CXCL1	1860958	1858329	9606.ENSP00000412237	9606.ENSP00000379110	0	0	0	0	0.051	0	0	0.702	0.705
SOD2	IL6	1854504	1844631	9606.ENSP00000356022	9606.ENSP00000258743	0	0	0	0	0.122	0	0	0.677	0.705
SERPINA12	RARRES2	1852553	1842971	9606.ENSP00000342109	9606.ENSP00000223271	0	0	0	0	0	0	0	0.705	0.705
TF	IL6	1859071	1844631	9606.ENSP00000385834	9606.ENSP00000258743	0	0	0	0	0	0	0	0.704	0.704
CSF1	ICAM1	1850929	1845628	9606.ENSP00000327513	9606.ENSP00000264832	0	0	0	0	0.053	0	0	0.699	0.703
ITGAM	CCL3	1862188	1843010	9606.ENSP00000441691	9606.ENSP00000225245	0	0	0	0	0.097	0	0	0.684	0.703
SPP1	TNFRSF11B	1858269	1847859	9606.ENSP00000378517	9606.ENSP00000297350	0	0	0	0	0	0	0	0.703	0.703
PLAU	MMP2	1855748	1842719	9606.ENSP00000361850	9606.ENSP00000219070	0	0	0	0	0.046	0	0	0.702	0.703
CCL22	CX3CL1	1842731	1842139	9606.ENSP00000219235	9606.ENSP00000006053	0	0	0	0	0	0	0	0.703	0.703
VEGFA	ADM	1855611	1846549	9606.ENSP00000361125	9606.ENSP00000278175	0	0	0	0	0.053	0	0	0.698	0.702
CCL17	CX3CL1	1842733	1842139	9606.ENSP00000219244	9606.ENSP00000006053	0	0	0	0	0	0	0	0.702	0.702
IL10	NCAM1	1860958	1850053	9606.ENSP00000412237	9606.ENSP00000318472	0	0	0	0	0	0	0	0.702	0.702
CXCL10	IL18	1848754	1846668	9606.ENSP00000305651	9606.ENSP00000280357	0	0	0	0	0	0	0	0.702	0.702
IL10	MPO	1860958	1843011	9606.ENSP00000412237	9606.ENSP00000225275	0	0	0	0	0	0	0	0.702	0.702
MPO	HMOX1	1843011	1842546	9606.ENSP00000225275	9606.ENSP00000216117	0	0	0	0	0.054	0	0	0.698	0.702
LEP	TNFSF11	1849557	1843537	9606.ENSP00000312652	9606.ENSP00000239849	0	0	0	0	0	0	0	0.701	0.701
TNFRSF11B	IL6	1847859	1844631	9606.ENSP00000297350	9606.ENSP00000258743	0	0	0	0	0	0	0	0.701	0.701
VEGFA	KITLG	1855611	1843134	9606.ENSP00000361125	9606.ENSP00000228280	0	0	0	0	0	0	0	0.701	0.701
MMP9	CSF1	1855661	1850929	9606.ENSP00000361405	9606.ENSP00000327513	0	0	0	0	0.047	0	0	0.698	0.7
LEP	ICAM1	1849557	1845628	9606.ENSP00000312652	9606.ENSP00000264832	0	0	0	0	0	0	0	0.7	0.7
IL10	SERPINE1	1860958	1842959	9606.ENSP00000412237	9606.ENSP00000223095	0	0	0	0	0	0	0	0.699	0.7
GDNF	CHL1	1860755	1844445	9606.ENSP00000409007	9606.ENSP00000256509	0	0	0	0	0	0	0	0.7	0.7
F2R	SELP	1850333	1845393	9606.ENSP00000321326	9606.ENSP00000263686	0	0	0	0	0	0	0	0.7	0.7
CXCL1	CCL4	1858329	1843996	9606.ENSP00000379110	9606.ENSP00000250151	0	0	0	0	0.122	0	0	0.671	0.699
TIMP4	MMP7	1847089	1844765	9606.ENSP00000287814	9606.ENSP00000260227	0	0	0	0	0	0.294	0	0.591	0.699
IL8	MMP7	1848852	1844765	9606.ENSP00000306512	9606.ENSP00000260227	0	0	0	0	0	0	0	0.698	0.698
FCGR2A	SELL	1846197	1843434	9606.ENSP00000271450	9606.ENSP00000236147	0	0	0	0	0.219	0	0	0.63	0.698
SRC	CCL2	1853652	1843055	9606.ENSP00000350941	9606.ENSP00000225831	0	0	0	0	0	0	0	0.698	0.698
CD163	CSF1	1853796	1850929	9606.ENSP00000352071	9606.ENSP00000327513	0	0	0	0	0	0	0	0.698	0.698
CCL20	CCL2	1853751	1843055	9606.ENSP00000351671	9606.ENSP00000225831	0	0	0	0	0.054	0	0	0.693	0.697
MMP9	IL18	1855661	1846668	9606.ENSP00000361405	9606.ENSP00000280357	0	0	0	0	0	0	0	0.697	0.697
LILRB1	EGFR	1849833	1846445	9606.ENSP00000315997	9606.ENSP00000275493	0	0	0	0	0	0	0	0.695	0.695
LEP	OSM	1849557	1842507	9606.ENSP00000312652	9606.ENSP00000215781	0	0	0	0	0	0	0	0.694	0.695
MCL1	EGFR	1854935	1846445	9606.ENSP00000358022	9606.ENSP00000275493	0	0	0	0	0	0	0	0.695	0.695
CCL2	OSM	1843055	1842507	9606.ENSP00000225831	9606.ENSP00000215781	0	0	0	0	0.052	0	0	0.691	0.695
IL10	EGFR	1860958	1846445	9606.ENSP00000412237	9606.ENSP00000275493	0	0	0	0	0	0	0	0.694	0.694
CCL7	CXCL10	1856894	1848754	9606.ENSP00000367832	9606.ENSP00000305651	0	0	0	0	0.126	0	0	0.664	0.694
TEK	ANGPTL3	1857139	1855412	9606.ENSP00000369375	9606.ENSP00000360170	0	0	0	0	0	0.145	0	0.656	0.693
CD274	EGFR	1857401	1846445	9606.ENSP00000370989	9606.ENSP00000275493	0	0	0	0	0	0	0	0.693	0.693
SPP1	LEP	1858269	1849557	9606.ENSP00000378517	9606.ENSP00000312652	0	0	0	0	0	0	0	0.693	0.693
HGF	OSM	1842916	1842507	9606.ENSP00000222390	9606.ENSP00000215781	0	0	0	0	0.053	0	0	0.689	0.693
TNFSF11	CCL2	1843537	1843055	9606.ENSP00000239849	9606.ENSP00000225831	0	0	0	0	0	0	0	0.693	0.693
CXCL10	ICAM1	1848754	1845628	9606.ENSP00000305651	9606.ENSP00000264832	0	0	0	0	0.118	0	0	0.665	0.692
VWF	MMP2	1844904	1842719	9606.ENSP00000261405	9606.ENSP00000219070	0	0	0	0	0	0	0	0.691	0.691
TGM2	QPCT	1854355	1852864	9606.ENSP00000355330	9606.ENSP00000344829	0	0	0	0	0.054	0	0	0.686	0.691
PGF	IL6	1862737	1844631	9606.ENSP00000451040	9606.ENSP00000258743	0	0	0	0	0	0	0	0.691	0.691
EGFR	DECR1	1846445	1842800	9606.ENSP00000275493	9606.ENSP00000220764	0	0	0	0	0	0	0	0.691	0.691
FAS	IL8	1853242	1848852	9606.ENSP00000347979	9606.ENSP00000306512	0	0	0	0	0	0	0	0.691	0.691
CXCL10	IL12B	1848754	1843283	9606.ENSP00000305651	9606.ENSP00000231228	0	0	0	0	0.054	0	0	0.686	0.69
LEP	VCAM1	1849557	1847502	9606.ENSP00000312652	9606.ENSP00000294728	0	0	0	0	0	0	0	0.69	0.69
F11R	CDH1	1847187	1844988	9606.ENSP00000289779	9606.ENSP00000261769	0	0	0	0	0.224	0	0	0.616	0.69
TIMP2	CDH1	1845213	1844988	9606.ENSP00000262768	9606.ENSP00000261769	0	0	0	0	0	0	0	0.69	0.69
TNC	CDH1	1845696	1844988	9606.ENSP00000265131	9606.ENSP00000261769	0	0	0	0	0	0	0	0.689	0.689
IL10	LILRB2	1860958	1857946	9606.ENSP00000412237	9606.ENSP00000375629	0	0	0	0	0.088	0	0	0.671	0.688
CXCL1	ICAM1	1858329	1845628	9606.ENSP00000379110	9606.ENSP00000264832	0	0	0	0	0.197	0	0	0.628	0.688
CCL23	CCL24	1847401	1842947	9606.ENSP00000293280	9606.ENSP00000222902	0	0	0	0	0.046	0	0	0.686	0.687
HSPG2	COL18A1	1856167	1853197	9606.ENSP00000363827	9606.ENSP00000347665	0	0	0	0	0.051	0	0	0.682	0.686
CXCL16	IL18	1847437	1846668	9606.ENSP00000293778	9606.ENSP00000280357	0	0	0	0	0.052	0	0	0.682	0.685
CCL7	IL8	1856894	1848852	9606.ENSP00000367832	9606.ENSP00000306512	0	0	0	0	0.104	0	0	0.663	0.685
OLR1	DECR1	1849145	1842800	9606.ENSP00000309124	9606.ENSP00000220764	0	0	0	0	0	0	0	0.684	0.684
IL10	SPP1	1860958	1858269	9606.ENSP00000412237	9606.ENSP00000378517	0	0	0	0	0	0	0	0.684	0.684
VEGFA	MCL1	1855611	1854935	9606.ENSP00000361125	9606.ENSP00000358022	0	0	0	0	0	0	0	0.684	0.684
IL17RA	CCL2	1850297	1843055	9606.ENSP00000320936	9606.ENSP00000225831	0	0	0	0	0	0	0	0.683	0.683
NGF	MMP2	1855044	1842719	9606.ENSP00000358525	9606.ENSP00000219070	0	0	0	0	0	0	0	0.683	0.683
SPP1	SRC	1858269	1853652	9606.ENSP00000378517	9606.ENSP00000350941	0	0	0	0	0	0.07	0	0.673	0.683
EGFR	SERPINE1	1846445	1842959	9606.ENSP00000275493	9606.ENSP00000223095	0	0	0	0	0	0	0	0.682	0.682
CD274	CD40	1857401	1855654	9606.ENSP00000370989	9606.ENSP00000361359	0	0	0	0	0.099	0	0	0.662	0.682
SRC	CD46	1853652	1849660	9606.ENSP00000350941	9606.ENSP00000313875	0	0	0	0	0	0.36	0	0.522	0.681
CEACAM8	MPO	1843712	1843011	9606.ENSP00000244336	9606.ENSP00000225275	0	0	0	0	0.421	0	0	0.47	0.68
